Back_X,Back_Y,Back_Z,Thigh_X,Thigh_Y,Thigh_Z
-1.028626,-0.105919,-0.264525,-1.235359,-0.162986,-0.483125
-1.009987,-0.054528,-0.205398,-0.803832,-0.282078,-0.316955
-0.988288,-0.08009,-0.184195,-0.735864,-0.30288,-0.23932
-0.501457,-0.122595,0.06026,-0.870791,0.539986,0.842884
-0.355051,0.042426,0.119339,-0.694745,0.422248,0.704942
-1.65754,0.032321,0.100193,-1.827742,0.902953,-0.444822
-1.666622,-0.11373,-0.121699,-1.906277,0.483481,-0.502452
-0.762958,0.065865,0.062418,-0.420625,0.086576,-0.12592
-1.088172,-0.039912,-0.160144,-1.262598,-0.676125,1.845735
-1.119123,-0.012277,-0.181597,-1.174086,-0.693631,1.441517
-1.238675,0.045705,-0.114773,-0.85984,0.227801,0.36719
-1.528978,-0.181253,0.115388,-1.506379,0.05268,0.003867
-1.516741,-0.008677,0.283545,-1.728252,-0.072882,0.516312
-1.443834,0.102379,-0.021317,-1.227046,0.386184,-0.974523
-1.365966,-0.027105,-0.03355,-1.439798,0.311907,-0.801411
-1.32573,-0.033937,-0.135228,-1.244194,0.101094,-0.674324
-1.202993,0.03474,-0.088039,-0.823656,-0.097148,-0.557285
-0.938661,-0.238094,0.11085,-1.007541,-0.020351,0.082512
-0.93584,-0.269471,0.084016,-1.023743,0.019782,0.095036
-1.004656,-0.225865,0.105317,-1.023506,0.068192,0.08956
-0.990684,-0.202003,0.118567,-0.992368,0.168503,0.054797
-0.961627,-0.20323,0.125466,-1.004333,0.184408,0.000879
-0.973592,0.075992,0.237082,-0.479094,-0.228857,0.823953
-0.96336,0.0909,0.222402,-0.470589,-0.227019,0.825953
-0.966731,0.094084,0.221092,-0.491569,-0.208706,0.842714
-0.97111,0.094722,0.217753,-0.488264,-0.222811,0.835318
0.138413,-0.949976,-0.238233,0.003209,1.004967,0.079576
0.139593,-0.953868,-0.239702,0.002651,0.987316,0.080487
0.134228,-0.965234,-0.238566,0.003208,0.997767,0.091115
0.138944,-0.958044,-0.239435,0.002653,0.994667,0.08046
0.139292,-0.971472,-0.238617,0.003207,0.997773,0.085826
0.138522,-0.958354,-0.23939,0.002653,0.989287,0.07454
-1.049561,-0.131836,-0.619873,-0.610107,-0.17749,-0.286621
-1.021729,-0.056641,-0.539795,-0.134521,0.115967,-0.193115
-0.887451,-0.160889,-0.573975,-0.158203,0.267578,-0.206299
-1.082275,-0.131348,-0.481689,-0.137451,0.208496,-0.11792
-0.390137,-0.249756,-0.342041,-0.64209,0.207275,-0.307617
-0.463379,-0.269043,-0.328857,-0.657959,0.231689,-0.18457
-0.555176,-0.317139,-0.381836,-0.708984,0.117432,-0.217773
-0.68457,-0.349609,-0.53418,-0.871826,-0.023438,-0.151611
-0.821045,-0.302246,-0.603271,-1.171387,-0.156982,-0.063477
-0.935059,-0.281494,-0.661621,-1.46582,-0.062988,-0.183594
-1.091309,-0.308594,-0.813965,-1.693604,-0.196045,0.080566
-1.222412,-0.265625,-0.872314,-1.736816,-0.461182,-0.060791
-0.958469,-0.053569,0.33727,-0.922493,0.176361,0.003261
-0.960648,-0.032437,0.332204,-0.934429,-0.021047,-0.064205
-0.986386,-0.032292,0.334226,-0.940828,0.027455,-0.113156
-0.954382,-0.009534,0.303568,-1.018751,0.149116,-0.114575
-0.969727,-0.023438,-0.391357,-0.978516,0.404297,0.073975
-0.968018,0.021973,-0.390381,-0.94873,0.416016,0.188965
-0.951904,0.111572,-0.390869,-0.962402,0.114258,0.202881
-0.921631,0.109131,-0.40625,-1.047607,-0.242188,0.161865
